family,common name (fr.),description,categories,origin,climat,temperature max. (c°),temperature min. (c°),zone,growth,light ideal,light tolered,watering,insects,disease,appeal,color of leaf,color of blooms,blooming season,perfume,avaibility,pot diameter (cm),height at purchase (m),width at purchase (m),height potential (m),width potential (m),available sizes (pot ø),bearing,pruning,style,use,name,soil
Polypodiaceae,Capillaire rosée,,Fern,Australia & New Guinea,Tropical,30,12,"10,,,8",Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Must not dry between watering,"Mealy bug  ,  Aphid  &  Snail",Gray mold,Foliage,Dark green  &  Light green,,,,Regular,15,0.25,0.15,0.61,0.91,4in to 8in Ø  / 10cm to 20cm Ø,Clump,Never,,"Table top  ,  Ground cover  &  Tertiary","['adiantum hispidulum', 'autralian maidenhair', 'rosy maidenhair']",No information available
Polypodiaceae,Capilaire,,Fern,Brazil,Tropical,30,12,"10,,,8",Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Must not dry between watering,"Mealy bug  ,  Aphid  &  Snail",Gray mold,Foliage,Medium green  &  Light green,,,,Regular,25,0.46,0.61,0.61,0.91,4in to 8in Ø  / 10cm to 20cm Ø,Clump,Never,,"Potted plant  ,  Ground cover  &  Table top","['adiantum raddianum', 'cuneatum', 'delta maidenhair', 'delta ferns', 'maindenhair', 'maidenhair fern']","Use a very rich, quick-draining soil."
Bromeliaceae,Vase d'argent,,Bromeliad,Brazil,Tropical humid,30,12,10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Water when soil is half dry  &  Change water regularly in the cup,N/A,N/A,Flower,Grey  &  Medium green,Pink,Seasonal,,Regular,15,0.46,0.3,0.46,0.46,6in to 8in Ø  / 15cm to 20cm Ø,Rosette,Never,,"Flower  ,  Table top  &  Tertiary","['billbergia rhodocyanea', 'silver vase', 'aechmea', 'aechmea fatsiata']",No information available
Bromeliaceae,Baie de corail,,Bromeliad,Brazil,Subtropical,30,12,10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Water when soil is half dry  &  Change water regularly in the cup,N/A,N/A,Flower,Dark green,Red,Seasonal,,Sporadic,15,0.41,0.61,0.61,0.76,6in to 10in Ø  / 15cm to 25cm Ø,Rosette,Never,,"Flower  ,  Table top  &  Primary","['coral berry', 'aechmea ramosa']",No information available
Gesneriaceae,Plante rouge à lèvre,,Hanging,Java,Tropical,32,14,"11,,,9",Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Full sun (+21,500 lux /+2000 fc )",Keep moist between watering  &  Can dry between watering,"Mealy bug  ,  Aphid  &  Thrips",N/A,Flower,Dark green,Red,Fall / Winter,,Regular,20,0.46,0.41,1.22,0.61,4in to 10in Ø  / 10cm to 25cm Ø,Drooping,If needed,,"Hanging  ,  Flower  &  Tertiary","['trichosporum', 'aeschynanthus lobianus', 'lipstick']",No information available
Amaryllidaceae,Agave panaché des Caraïbes,,Cactus & Succulent,India,Tropical,35,5,"10,,,8",Slow,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Must dry between watering  &  Water only when dry,Scale  &  Mealy bug,N/A,Foliage,Medium green  &  White,,Rarely,,Sporadic,20,0.3,0.41,0.76,1.02,6in to 14in Ø  / 15cm to 36cm Ø,Rosette,Never,,"Potted plant  ,  Primary  &  Secondary","['agave striata', 'variegated carabbean agave', 'dragon-tree agave', 'lilliput agave', 'agave plant', 'wilsonii', 'thread agave', 'blue agave', 'agave angustilolia', 'caribaea', 'agave filifera', 'century plant', 'agave attenuata', 'agave verschaffeltii']","Use a succulent potting soil or any good, loose, fast draining indoor potting mix."
Araceae,Aglaonema,,Aglaonema,Hybrid,Tropical,28,18,11,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,Mealy bug  &  Scale,"Phytophtora  ,  Crown rot",Foliage,Dark green  &  Grey,Light green,Seasonal,,Sporadic,25,0.76,0.76,1.22,1.22,8in to 14in Ø  / 20cm to 36cm Ø,Clump,If needed,,"Potted plant  ,  Secondary  &  Tertiary","['chinese evergreen emerald beauty', 'chinese evergreen maria', 'aglaonema', 'chinese evergreen plant', 'aglaonema commutatum', 'chinese evergreen']","Use a well-aerated potting soil that drains quickly for a Chinese Evergreen plant. If the soil does not dry out quickly, root rot may develop."
Apocynaceae,Trompette d'or,,Flower,Brazil,Tropical,30,10,"11,,,9",Regular,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Keep moist between watering  &  Water when soil is half dry,"Mealy bug  ,  Scale  &  Spider mite",N/A,Flower,Medium green,Yellow,Spring / Summer,,Seasonal,25,0.61,0.61,1.22,1.22,6in to 10in Ø  / 15cm to 25cm Ø,Bush-like,Fall,Bush,Flower,"['allamanda nerifolia', 'golden trumpet']",No information available
Araceae,Oreille d'éléphant,,Other,Cultivar,Tropical humid,28,15,11,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Keep moist between watering  &  Water when soil is half dry,Spider mite  &  Mealy bug,Phytophtora  &  Crown rot,Foliage,Grey  &  Medium green,,,,Sporadic,15,0.25,0.3,0.61,0.51,4in to 8in Ø  / 10cm to 20cm Ø,Clump,Never,,"Colors / Forms  ,  Table top  &  Tertiary","['alocasia', 'alocasia guttata imperialis', 'elephant ear plant', 'alocasia nebula imperialis', 'african mask', 'alocasia amazonica', 'caladium', 'elephant ear', 'caladium plant', 'jewel alocasia', 'alocasias']","Use a well-aerated, fast draining, loose soil for an alocasia plant. You may have to add quite a bit of peat moss and sand to your usual indoor potting soil to get the right consistency."
Araceae,"Anthurium nid d'oiseaux, Anthurium feuille de choux",,Anthurium,Guyana,Tropical humid,28,18,11,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Water when soil is half dry  &  Can dry between watering,"Mealy bug  ,  Snail  &  Aphid",Erwinia  &  Crown rot,Foliage,Medium green,Light green,Sporadic,,Regular,20,0.61,0.51,1.52,1.22,6in to 14in Ø  / 15cm to 36cm Ø,Clump,Never,,Potted plant  &  Secondary,"['anthurium', 'tailflower', 'anthurium hookeri', 'cabbage anthurium', 'wax flower', 'anthurium bellum', 'bronze anthurium', 'anthurium tetragonum', 'anthurium superbum', 'bird nest anthurium', 'flamingo flower', 'anthurium schlechtendalii']","Use a rich, organic, loose potting soil that contains some mulch and sphagnum moss. A quick draining soil helps prevent root rot."
Liliaceae,Plante d'acier,,Foliage plant,China,Subtropical,28,8,"11,,,7",Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Water when soil is half dry  &  Can dry between watering,"Spider mite  ,  Mealy bug  &  Scale",N/A,Foliage,Dark green,,,,Regular,20,0.51,0.51,1.07,0.91,6in to 14in Ø  / 15cm to 36cm Ø,Clump,Never,,Ground cover  &  Potted plant,"['aspidistra elatior minor', 'milky way/ amanokawa', 'lurida', 'aspidistra milky way', 'aspidistra elatior', 'cast iron plant']",Use a rich organic indoor potting soil such as an African Violet mix.
Aspleniaceae,Fougère nid d'oiseaux,,Fern,Asia,Tropical humid,28,15,11-10,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Must not dry between watering,Mealy bug,N/A,Foliage,Light green,,,,Sporadic,25,0.76,0.61,1.52,1.22,4in to 10in Ø  / 10cm to 25cm Ø,Clump,Never,,Potted plant  &  Primary,"['birds nest fern', 'bird’s nest fern', 'birdnest fern', 'asplenium nidus']","The soil for a Bird's Nest fern should be loose, drain quickly, and. contain a large amount of organic material."
Polypodiaceae,Fougère arborescente miniature,,Fern,New Calidonia,Tropical humid,30,10,11-10,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Must not dry between watering,Mealy bug  &  Scale,N/A,Trunc,Light green,,,,Regular,25,0.76,0.51,1.52,1.22,4in to 10in Ø  / 10cm to 25cm Ø,Erect,Never,,Potted plant  &  Secondary,"['blechnum gibbum', 'dwarf treefern', 'miniature treefern']",No information available
Nyctaginaceae,"Bougainville, Fleur de papier",,Flower,Cultivar,Tropical,32,10,10,Fast,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Keep moist between watering  &  Water when soil is half dry,Aphid  &  Mealy bug,N/A,Flower,Medium green,Pink,Spring / Summer,,Seasonal,25,0.61,0.61,,,4in to 24in Ø  / 10cm to 61cm Ø,Climbing,After blooming,,"Hanging  ,  Colors / Forms  &  Secondary","['bougainvillea plant', 'bougainvillia', 'bougainvillea', 'paper flower plant', 'paper flower']",Bougainvillea Plants need a loamy soil with a great deal of organic material in it. It's important for the soil to drain quickly to prevent root rot.
Marantaceae,Calathéa ligné,,Foliage plant,Cultivar,Tropical,25,10,11,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,"Spider mite  ,  Mealy bug  &  Scale",N/A,Foliage,Dark green  &  Cream,,,,Regular,15,0.36,0.41,1.02,0.91,4in to 10in Ø  / 10cm to 25cm Ø,Clump,Never,,"Table top  ,  Ground cover  &  Tertiary","['calathea ornata rosea lineata', 'stiped calathea']",No information available
Marantaceae,Calthéa argenté,,Foliage plant,Cultivar,Tropical,25,10,11,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,"Spider mite  ,  Mealy bug  &  Scale",N/A,Foliage,Silver  &  Dark green,Light green,Seasonal,,Regular,15,0.25,0.3,0.61,0.61,4in to 10in Ø  / 10cm to 25cm Ø,Clump,Never,,"Table top  ,  Ground cover  &  Tertiary","['silver calathea', 'calathea pictura']",No information available
Marantaceae,Calathéa velour,,Foliage plant,Brazil,Tropical,25,10,11,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,"Spider mite  ,  Mealy bug  &  Scale",N/A,Foliage,Medium green  &  Red,Yellow,Seasonal,,Regular,15,0.3,0.3,0.91,0.76,6in to 10in Ø  / 15cm to 25cm Ø,Clump,Never,,Table top  &  Ground cover,"['velvet calathea', 'calathea rufibarba']",No information available
Marantaceae,Stromante,,Foliage plant,Brazil,Tropical,25,10,11,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,"Spider mite  ,  Mealy bug  &  Scale",N/A,Foliage,Light green  &  Dark green,Lilac,Seasonal,,Regular,15,0.2,0.3,0.3,0.46,6in to 10in Ø  / 15cm to 25cm Ø,Clump,Never,,Table top  &  Ground cover,"['calathea stromata', 'stromante']",No information available
Marantaceae,Calathéa Médallion,,Foliage plant,Hybrid,Tropical,25,10,11,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,"Spider mite  ,  Mealy bug  &  Scale",N/A,Foliage,Dark green  &  Cream,Light green,Seasonal,,Regular,15,0.3,0.3,0.61,0.61,4in to 10in Ø  / 10cm to 25cm Ø,Clump,Never,,Table top  &  Ground cover,"['calathea veitchiana', 'medallion calathea']",No information available
Palmae,Palmier queue de poisson,,Palm,India,Tropical,25,10,11-10,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Must not dry between watering,Spider mite  &  Mealy bug,N/A,Style,Dark green,,,,Regular,25,1.22,0.76,15.24,3.66,10in to 60in Ø  / 25cm to 152cm Ø,Erect,Never,,Potted plant  &  Primary,"['adonidia', 'dwarf palm', 'king sago', 'fish tail palm', 'spindle palm', 'rhapis flabelliformis', 'fishtail palm', 'mascarena verschaffeltii', 'ravenea rivularis', 'parrot palm', 'manila palm', 'sago palm', 'spiny licuala palm', 'majesty palm', 'howeia', 'parlor palm', 'steel palm', 'hyophorbe verschaffeltii', 'veitchia merrillii', 'cycas revoluta', 'caryota mitis', 'chamaedorea elegans', 'palm', 'chamaedorea metallica', 'bella palm', 'collinia', 'phoenix roebellinii', 'pignee date palm', 'licuala spinosa', 'paradise palm', 'howea forsteriana', 'rhapis excelsa', 'christmas palm', 'kentia palm', 'lady palm', 'neanthebella palm', 'miniature fishtail', 'syagrus schizophylla']",Fishtail Palms grow best when planted in a fast-draining porous soil containing a large amount of organic matter.
Cactaceae,Cactus cièrge,,Cactus & Succulent,Brazil,Arid Tropical,35,5,"11,,,9",Seasonal,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Water when soil is half dry  &  Water only when dry,Scale  &  Mealy bug,N/A,Style,Medium green  &  Blue,White,Spring / Summer,,Regular,20,0.61,0.2,3.05,,6in to 14in Ø  / 15cm to 36cm Ø,Erect,If needed,,Potted plant  &  Primary,"['cereus peruvianus', 'tree-cereus']",No information available
Cactaceae,Cactus monstre,,Cactus & Succulent,Brazil,Arid Tropical,35,5,"11,,,9",Seasonal,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Water when soil is half dry  &  Water only when dry,Scale  &  Mealy bug,N/A,Style,Medium green  &  Blue,White,Spring / Summer,,Regular,25,0.91,0.3,1.83,,6in to 14in Ø  / 15cm to 36cm Ø,Erect,If needed,,Potted plant  &  Primary,"['monster cactus', 'cereus peruvianus monstrosus']",No information available
Arecaceae,Palmier bamboo,,Palm,Honduras,Tropical,28,10,11-10,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,Spider mite  &  Mealy bug,N/A,Foliage,Medium green,,,,Regular,25,1.07,0.76,2.44,1.83,8in to 20in Ø  / 20cm to 51cm Ø,Clump,Never,,Potted plant  &  Secondary,"['graminifolia', 'chamaedorea erumpens', 'bamboo palm', 'chamaedorea seifrizii', 'reed palm', 'reed palms']","Bamboo palms need a basic, well-aerated potting soil that drains quickly but still retains moisture."
Liliaceae,Plante arraignée,,Hanging,Central Africa,Tropical to subtropical,28,5,"11,,,9",Fast,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,N/A,N/A,Color,Light green  &  White,White,All year,,Regular,20,0.46,0.61,5.69,0.91,4in to 10in Ø  / 10cm to 25cm Ø,Clump,Never,,Hanging  &  Ground cover,"['spider plant', 'anthericum', 'chlorophytum comosum', 'airplane plant']","Use a rich, organic plant soil such as an African violet mix."
Vitaceae,Fausse vigne,,Hanging,Central America & South America,Tropical,28,10,11-10,Fast,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Can dry between watering,Mealy bug,Downy mildiou  &  Powdery,Foliage,Dark green,,,,Regular,20,0.46,0.3,,,6in to 10in Ø  / 15cm to 25cm Ø,Climbing,If needed,,Hanging  &  Ground cover,"['grape ivy plant', 'grape ivy', 'cissus rhombifolia']",Use a well-aerated soil that drains quickly. Grape Ivy Plants grow well in African Violet soil.
Euphorbiaceae,Croton,,Foliage plant,Cultivar,Tropical,28,10,11-10,Regular,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Keep moist between watering  &  Water when soil is half dry,Spider mite  &  Mealy bug,N/A,Color,Yellow  &  Red,,,,Regular,25,0.91,0.51,1.83,1.52,4in to 14in Ø  / 10cm to 36cm Ø,Bush-like,If needed,Bush,Secondary  &  Tertiary,"['codiaeum afd5', 'codiaeum petra', 'croton']",No information available
Crasssulaceae,Jade,,Cactus & Succulent,South Africa,Subtropical arid,35,,"11,,,8",Slow,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Must dry between watering  &  Water only when dry,Mealy bug,N/A,Style,Medium green  &  Red,White,Fall,,Regular,15,0.25,0.25,1.83,1.52,4in to 14in Ø  / 10cm to 36cm Ø,Bush-like,If needed,,Potted plant  &  Primary,"['crassula argentea', 'crassula ovata', 'jade plant', 'money plant']",Use a loose potting soil that drains quickly.
Bromeliaceae,,,Bromeliad,Cultivar,Tropical,28,10,11-10,Very slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Full sun (+21,500 lux /+2000 fc )",Can dry between watering  &  Water when soil is half dry,N/A,N/A,Color,Pink  &  Brown,,,,Sporadic,10,0.25,0.3,,,4in to 6in Ø  / 10cm to 15cm Ø,Rosette,Never,,Table top  &  Primary,['cryptanthus rose eliane'],No information available
Marantaceae,Phrynium,,Foliage plant,Brazil,Tropical,25,12,11-10,Fast,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Must not dry between watering,Spider mite  &  Mealy bug,N/A,Color,Light green  &  Yellow,,,,Sporadic,15,0.41,0.46,1.83,1.83,6in to 14in Ø  / 15cm to 36cm Ø,Clump,Never,,Table top  &  Potted plant,"['ctenanthe lubbersiana', 'phrynium']",No information available
Dryopteridaceae,Fougère houx,,Fern,Asia,Subtropical,30,5,"11,,,8",Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,Scale  &  Mealy bug,N/A,Robustness,Dark green,,,,Regular,20,0.36,0.46,0.91,1.22,4in to 10in Ø  / 10cm to 25cm Ø,Clump,Never,,Potted plant  &  Ground cover,"['holly-fern', 'cyrtomium falcatum']",No information available
Davalliaceae,"Patte de lapin, Patte d'écureuil",,Fern,Canaries,Tropical,25,10,11-10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Water when soil is half dry  &  Can dry between watering,Mealy bug  &  Scale,N/A,Foliage,Medium green,,,,Regular,15,0.15,0.25,0.25,,4in to 6in Ø  / 10cm to 15cm Ø,Creeping,Never,,Hanging  &  Potted plant,"[""rabbit's foot"", 'davallia trichomannoides', 'davallia canariensis', ""squirrel's foot""]",No information available
Dryopteridaceae,Cappilaire arborescente,,Fern,,Tropical humid,30,5,"11,,,9",Regular,"Full sun (+21,500 lux /+2000 fc )","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Must not dry between watering,Mealy bug  &  Scale,N/A,Bearing,Medium green  &  Bronze,,,,Sporadic,15,0.2,0.3,1.4,0.91,4in to 8in Ø  / 10cm to 20cm Ø,Clump,Never,,Potted plant  &  Tertiary,"['didymochlaena truncatula', 'tree maindenhair fern']",No information available
Araceae,,,Dieffenbachia,Cultivar,Tropical,28,12,11-10,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Can dry between watering,Spider mite  &  Mealy bug,Fusarium  &  Erwinia,Robustness,Medium green  &  Cream,Light green,Winter,,Regular,15,0.3,0.3,1.83,0.91,6in to 14in Ø  / 15cm to 36cm Ø,Erect,If needed,Bush,Table top  &  Potted plant,"['dumcane', 'dieffenbachia amoena tropic snow', 'dieffenbachia', 'dieffenbachia maculata']",No information available
