family,common name (fr.),description,categories,origin,climat,temperature max. (c°),temperature min. (c°),zone,growth,light ideal,light tolered,watering,insects,disease,appeal,color of leaf,color of blooms,blooming season,perfume,avaibility,pot diameter (cm),height at purchase (m),width at purchase (m),height potential (m),width potential (m),available sizes (pot ø),bearing,pruning,style,use,name,soil
Liliaceae,Barbe d'ours,,Grass,Japan,Subtropical,28,5,"10,,,7",Seasonal,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Full sun (+21,500 lux /+2000 fc )",Keep moist between watering  &  Water when soil is half dry,Spider mite  &  Scale,N/A,Foliage,Dark green,Lilac  &  Cream,Spring,,Regular,20,0.3,0.3,0.38,0.51,4in to 8in Ø  / 10cm to 20cm Ø,Clump,Never,,Ground cover  &  Tertiary,"[""snake's beard"", 'ophiopogon japonicus']",No information available
Apocynaceae,Palmier de Madagascar,,Cactus & Succulent,Madagascar,Arid Tropical,35,8,"11,,,9",Seasonal,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Must dry between watering  &  Water only when dry,Mealy bug,N/A,Style,Dark green,,,,More or less regular,25,0.91,0.46,4.57,0.91,4in to 17in Ø  / 10cm to 43cm Ø,Erect,If needed,,Potted plant  &  Primary,"['madagascar palm', 'pachypodium geayi']",No information available
Bignoniaceae,,,Flower,Australia,Subtropical,28,8,"11,,,9",Fast,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Keep moist between watering  &  Water when soil is half dry,Mealy bug,N/A,Flower,Dark green,White  &  Mauve,Spring,,Seasonal,25,0.91,0.61,3.05,,10in Ø  / 25cm Ø,Climbing,If needed,,Potted plant  &  Secondary,"['bower of beauty', 'bower plant', 'pandorea jasminoides']",No information available
Sinopteridaceae,,,Fern,Australia & New Guinea,Tropical,25,12,10-11,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Must not dry between watering,Mealy bug,N/A,Foliage,Dark green,,,,Sporadic,15,0.2,0.2,0.3,0.61,4in to 6in Ø  / 10cm to 15cm Ø,Clump,Never,,"Table top  ,  Ground cover  &  Tertiary",['pellaea falcata'],No information available
Piperaceae,Peperomia Tricolor,,Other,Cultivar,Tropical,32,10,11-10,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",,Keep moist between watering  &  Water when soil is half dry,Mealy bug,N/A,Color,Medium green  &  Cream,,,,Sporadic,20,0.25,0.3,0.38,0.61,4in to 6in Ø  / 10cm to 15cm Ø,Clump,If needed,,"Table top  ,  Ground cover  &  Tertiary","['tricolor peperomia', 'peperomia clusiifolia']",No information available
Piperaceae,Bébé caoutchouc,,Other,Venezuela,Tropical,32,10,11-11,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",,Keep moist between watering  &  Water when soil is half dry,Mealy bug,N/A,Robustness,Dark green,,,,Sporadic,15,0.25,0.25,0.41,,4in to 6in Ø  / 10cm to 15cm Ø,Erect,If needed,,"Table top  ,  Ground cover  &  Tertiary","['peperomia obtusifolia', 'peperomia caperata', 'pepper face', 'peperomia plant', 'baby rubber tree plant', 'baby rubber plant', 'emerald ripple peperomia']",Use a well-aerated loose potting soil that drains quickly.
Orchidaceae,,,Flower,Hybrid,Tropical humid,28,12,11-11,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Water when soil is half dry  &  Can dry between watering,Thrips  &  Aphid,N/A,Flower,Dark green,White  &  Pink,Winter / Spring,,Seasonal,15,0.61,0.46,0.91,0.61,4in to 8in Ø  / 10cm to 20cm Ø,Clump,Never,,Table top  &  Secondary,"['orchids', 'orchid', 'orchidaceae', 'phalaenopsis', 'cymbidium orchidaceae']","Cymbidium orchid plants need a special orchid soil or potting medium. Never use regular houseplant soil. Proper orchid planting medium contains peat moss, bark compost, and osmunda fiber. The right plant soil be found at any garden center."
Araceae,,,Philodendron,Cultivar,Tropical,28,18,11-10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,Mealy bug,Erwinia,Style,Medium green,,,,Regular,20,0.41,0.41,0.61,0.91,4in to 10in Ø  / 10cm to 25cm Ø,Clump,Never,,Table top  &  Secondary,"['philodendron', 'lime philodendron', 'red philodendron']",No information available
Araceae,Philodendron velour,,Philodendron,Dominica,Tropical,28,18,11-10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,Mealy bug,Erwinia,Foliage,Medium green  &  Bronze,,,,Regular,15,0.15,0.3,,,4in to 8in Ø  / 10cm to 20cm Ø,Climbing,If needed,,Hanging  &  Secondary,"['velvet leaf philodendron', 'philodendron hederaceum', 'velvet-leaf vine', 'philodendron micans']",Use a loose soil that is high in organic matter and drains quickly.
Araceae,Philodendron fougère,,Philodendron,Venezuela,Tropical,28,18,11-10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,Mealy bug,Erwinia,Style,Light green,Light green,Spring,"Camphror,  comes from the Flowers",Regular,15,0.3,0.3,1.52,1.52,6in to 10in Ø  / 15cm to 25cm Ø,Clump,Never,,Table top  &  Tertiary,"['fernleaf philodendron', 'philodendron pinnatifidum']",No information available
Araceae,"Phidendron à feuille de cœur, Philodendron cordatum",,Philodendron,Central America,Tropical,28,18,11-10,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,Mealy bug,Erwinia,Robustness,Dark green,,,,Regular,20,0.15,0.41,,,4in to 14in Ø  / 10cm to 36cm Ø,Climbing,If needed,,Hanging  &  Tertiary,"['philodendron heartleaf', 'cordatum vine', 'philodendron cordatum', 'sweetheart philodendron', 'sweetheart plant', 'philodendron scandens/oxycardium', 'heartleaf philodendron', 'parlor ivy', 'philodendron scandens oxycardium']","Use a well-aerated, all purpose, loose potting soil that drains quickly."
Araceae,Philodendron arborescent,,Philodendron,Brazil,Tropical,28,18,11-10,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,Mealy bug,Erwinia,Bearing,Medium green,Light green,Winter,,Regular,20,0.61,0.61,3.66,3.05,6in to 14in Ø  / 15cm to 36cm Ø,Clump,If needed,,Potted plant  &  Secondary,"['philodendron selloum', 'winterbourn philodendron', 'split leaf philodendron plant', 'philodendron bipinnatifidum', 'philodendron xanadu plant', 'lacy tree-philodendron', 'philodendron split leaf', 'tree philodendron']","Use a rich, slightly alkaline, peat moss based soil that retains moisture but still drains quickly."
Araceae,,,Philodendron,Cultivar,Tropical,28,18,11-10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,Mealy bug,Erwinia,Style,Dark green,,,,Regular,20,0.41,0.41,0.76,1.22,4in to 10in Ø  / 10cm to 25cm Ø,Clump,Never,,Table top  &  Secondary,"['philodendron congo plant', 'philodendron tatei']",Use a rich quick-draining soil for philodendrons. You may have to add a little sand to your usual soil mix.
Polypodiaceae,"Corne d'Élan, Bois de cerf",,Fern,Australia,Tropical,30,5,"11,,,9",Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,N/A,N/A,Foliage,Light green  &  Silver,,,,Regular,15,0.25,0.25,0.61,0.91,4in to 8in Ø  / 10cm to 20cm Ø,Clump,Never,,Potted plant  &  Tertiary,"['platycerium alcicorne', 'platycerium bifurcatum', 'platycerium', 'staghorn fern']",Orchid bark mixed with potting soil makes a good soil for a staghorn fern. These ferns can also be grown in sphagnum moss that is attached to a piece of wood or bark. The arrangement can then be hung on a wall.
Podocarpaceae,"Podocarpe chinois, Pin Africain, Pin bouddhiste",,Foliage plant,Central Africa,Subtropical,30,10,"11,,,9",Regular,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Keep moist between watering  &  Must not dry between watering,Mealy bug  &  Scale,N/A,Foliage,Medium green,,,,Regular,36,1.68,0.91,7.62,3.66,6in to 48in Ø  / 15cm to 122cm Ø,Arborescent,If needed,Pyramid,Potted plant  &  Primary,"['african fern pine', 'podocarpus gracilior', 'japanese yew plant', 'buddhist pine', 'podocarpus plant', 'podocarpus macrophyllus']",Use a well-aerated acidic soil. Add perlite or sand if your soil seems too heavy or clay-like.
Dryopteridaceae,Fougère barbue,,Fern,Japan,Subtropical,28,-5,"10,,,6",Seasonal,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",,Keep moist between watering  &  Must not dry between watering,N/A,N/A,Foliage,Dark green,,,,Seasonal,15,0.15,0.25,0.91,1.22,4in to 6in Ø  / 10cm to 15cm Ø,Clump,Never,,Table top  &  Tertiary,"['polystichum polyblepharum', 'japanese tassel fern', 'polystichum setosum']",No information available
Dryopteridaceae,,,Fern,Korea,Subtropical,28,-5,"10,,,7",Seasonal,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",,Keep moist between watering  &  Must not dry between watering,N/A,N/A,Foliage,Dark green,,,,Seasonal,15,0.15,0.25,0.61,0.91,4in to 6in Ø  / 10cm to 15cm Ø,Clump,Never,,Table top  &  Tertiary,"['polystichum tsus-simense', 'aspidium', 'tsu-sima holly fern', 'korean rock fern']",No information available
Pteridaceae,Pteris Ruban d'argent,,Fern,Cultivar,Tropical humid,28,12,10-9,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",,Keep moist between watering  &  Must not dry between watering,N/A,N/A,Foliage,Medium green  &  Silver,,,,Regular,15,0.2,0.25,0.38,0.3,4in to 6in Ø  / 10cm to 15cm Ø,Clump,Never,,Table top  &  Tertiary,"['pteris cretica', 'silver ribbon fern', 'cretan brake']",No information available
Pteridaceae,Pteris dentelle d'argent,,Fern,Asia,Tropical humid,28,12,10-9,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",,Keep moist between watering  &  Must not dry between watering,N/A,N/A,Foliage,Medium green  &  Silver,,,,Regular,15,0.25,0.25,0.38,0.3,4in to 6in Ø  / 10cm to 15cm Ø,Clump,Never,,Table top  &  Tertiary,"['pteris ensiformis', 'silver lace fern']",No information available
Bignoniaceae,"Poupée chinoise, Frêne d'intérieur",,Other,China,Subtropical,28,8,"11,,,9",Regular,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Keep moist between watering  &  Water when soil is half dry,Mealy bug,N/A,Foliage,Dark green,,,,Regular,15,0.25,0.25,3.05,3.05,4in to 10in Ø  / 10cm to 25cm Ø,Bush-like,If needed,,Table top  &  Tertiary,"['china doll plant', 'china doll', 'radermachera sinica']",Use a rich well-aerated soil that drains quickly for a China Doll plant. Add sand or perlite to loosen the soil if necessary.
Liliaceae,Langue de belle mère,,Sansevieria,South Africa,Subtropical,35,10,"11,,,9",Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Water when soil is half dry  &  Can dry between watering,N/A,N/A,Bearing,Dark green  &  Light green,Light green,,"Putrid,  comes from the Flowers",Regular,15,0.3,0.15,1.22,,4in to 14in Ø  / 10cm to 36cm Ø,Clump,Never,,Table top  &  Tertiary,"['birdnest sansevieria', 'sansevieria plant', 'sansevieria trifasciata', 'sansevieria trifasciata laurentii', 'snake plant', 'sansevieria zeylanica', ""mother-in-law's tongue plant""]","Use a good, rich, organic soil that drains quickly. If the soil isn't draining well and appears heavy and clay-like, add some builders sand."
Araliaceae,Plante parapluie,,Schefflera,Cultivar,Tropical,28,12,11-10,Regular,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Keep moist between watering  &  Water when soil is half dry,"Spider mite  ,  Aphid  &  Mealy bug",N/A,Robustness,Medium green,,,"Camphror,  comes from the Leafs",Regular,25,1.07,0.91,5.08,3.66,8in to 24in Ø  / 20cm to 61cm Ø,Arborescent,If needed,Bush,Potted plant  &  Secondary,"['schefflera plant', 'brassaia actinophylla', 'umbella plant', 'schefflera actinophylla', 'umbrella tree plant']","A Schefflera prefers a well-aerated, fast-draining, indoor potting soil. Replace 1/3 of the soil with fresh soil every two years."
Araliaceae,Plante parasol,,Schefflera,Taiwan,Tropical,30,12,11-10,Regular,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Keep moist between watering  &  Water when soil is half dry,"Spider mite  ,  Aphid  &  Mealy bug",N/A,Foliage,Dark green,Medium green,Summer / Fall,"Camphror,  comes from the Leafs",Regular,15,0.3,0.25,4.57,4.57,4in to 30in Ø  / 10cm to 76cm Ø,Arborescent,If needed,Bush,Table top  &  Tertiary,"['yellow parasol plant', 'hawaiian schefflera', 'heptapleurum arboricola', 'parasol plant', 'hawaiian elf', 'yellow hawaiian elf', 'arboricola', 'hawaiian schefflera plant', 'schefflera arboricola']",Use a well-aerated loose soil that retains water but still drains quickly.
Araceae,"Philodendron picta, Pothos tacheté",,Hanging,Indonisia,Tropical,30,12,11-10,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Water when soil is half dry  &  Can dry between watering,Mealy bug,N/A,Color,Light green  &  Silver,,,,Regular,20,0.25,0.46,,,4in to 8in Ø  / 10cm to 20cm Ø,Climbing,Never,,Hanging  &  Tertiary,"['satin pothos', 'picta philodendron', ""devil's ivy"", 'scindapsus pictus argyraeus']",No information available
Crasssulaceae,Queue d'âne,,Ground Cover,Mexico,Arid Tropical,35,8,"11,,,9",Slow,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Must dry between watering  &  Water only when dry,Mealy bug,N/A,Color,Light green,,,,Regular,10,0.1,0.13,,,4in to 8in Ø  / 10cm to 20cm Ø,Creeping,If needed,,Ground cover  &  Hanging,"['donkey tail cactus', 'donkey’s tail plant', 'burro-tail', 'sedum morganianum', ""burro's tail plant""]",Use a loose and fast draining soil for a Donkey's tail plant. A cactus or succulent mix is a good choice.
Araceae,Lys de paix,,Spathiphyllum,Cultivar,Tropical,28,15,11-10,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Must not dry between watering,Mealy bug  &  Thrips,Phytophtora,Flower,Dark green,White,All year,"Light,  comes from the Flowers",Regular,15,0.3,0.3,0.91,0.91,4in to 10in Ø  / 10cm to 25cm Ø,Clump,Never,,Table top  &  Tertiary,"['peace lily plant', 'spathiphyllum', 'peace lily']",Use a rich well-aerated potting soil that contains a good amount of peat or other organic material.
Strelitziaceae,Oiseaux du paradis,,Foliage plant,South Africa,Subtropical,30,12,"11,,,9",Regular,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Keep moist between watering  &  Water when soil is half dry,Spider mite  &  Mealy bug,N/A,Bearing,Medium green,Cream,Rarely,,Regular,15,0.41,0.3,12.19,9.14,6in to 58in Ø  / 15cm to 147cm Ø,Clump,If needed,,Table top  &  Tertiary,"['white bird of paradise', 'strelitzia nicolai']",No information available
Araceae,Patte d'oie,,Hanging,Cultivar,Tropical humid,28,12,11-10,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,Spider mite  &  Mealy bug,Crown rot  &  Erwinia,Color,Light green  &  Pink,,,,Regular,15,0.3,0.3,,,4in to 10in Ø  / 10cm to 25cm Ø,Climbing,If needed,,Table top  &  Tertiary,"['arrowhead vine', 'syngonium podophyllum', 'nephthytis', 'arrowhead plant', 'nephthytis liberica', 'goosefoot plant', 'african evergreen']","The best soil to use is a rich, organic mix that drains quickly. I find that a soil made for African Violet plants is a good choice."
Bromeliaceae,,,Bromeliad,Hybrid,Tropical humid,30,15,11-10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Change water regularly in the cup  &  Water when soil is half dry,N/A,N/A,Flower,Dark green,Pink,Seasonal,,Rare,15,0.46,0.46,,,6in Ø  / 15cm Ø,Rosette,Never,,Table top  &  Tertiary,"['tillandsia creation', 'platyrachis']",No information available
Bromeliaceae,,,Bromeliad,Ecuador,Tropical humid,30,15,11-10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Change water regularly in the cup  &  Water when soil is half dry,N/A,N/A,Flower,Dark green,Pink,Seasonal,,Regular,15,0.25,0.25,,,4in to 6in Ø  / 10cm to 15cm Ø,Rosette,Never,,Table top  &  Tertiary,"['pink quill', 'tillandsia cyanea', 'tillandsia morreniana']",No information available
Miliaceae,,,Other,Zimbabwe,Tropical humid,28,12,11-10,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Must not dry between watering,Mealy bug,N/A,Foliage,Dark green,,,,Regular,25,1.07,0.61,,,10in to 17in Ø  / 25cm to 43cm Ø,Arborescent,If needed,,Potted plant  &  Secondary,"['christmas bells', 'cape mahogany', 'trichilia dregei']",No information available
Bromeliaceae,,,Bromeliad,Cultivar,Tropical,28,15,11-10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Change water regularly in the cup  &  Water when soil is half dry,N/A,N/A,Flower,Medium green,Yellow  &  Red,Seasonal,,Regular,15,0.3,0.3,0.51,0.51,6in Ø  / 15cm Ø,Rosette,Never,,Table top  &  Tertiary,['vriesea'],No information available
Bromeliaceae,,,Bromeliad,Cultivar,Tropical,28,15,11-10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Change water regularly in the cup  &  Water when soil is half dry,N/A,N/A,Flower,Medium green,Red,Seasonal,,Regular,15,0.3,0.3,0.51,0.51,4in to 6in Ø  / 10cm to 15cm Ø,Rosette,Never,,Table top  &  Tertiary,['vriesea ginger'],No information available
Bromeliaceae,,,Bromeliad,Venezuela,Tropical,28,15,11-10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Change water regularly in the cup  &  Water when soil is half dry,N/A,N/A,Flower,Medium green  &  Burgandy,Red,Seasonal,,Regular,10,0.25,0.25,0.51,0.51,4in to 8in Ø  / 10cm to 20cm Ø,Rosette,Never,,Table top  &  Tertiary,['vriesea splendens'],No information available
Liliaceae,,,Other,Australia,Arid Tropical,35,12,"11,,,9",Very slow,"Full sun (+21,500 lux /+2000 fc )",,Must dry between watering  &  Water only when dry,N/A,N/A,Trunc,Medium green,Medium green,Spring,,Rare,36,1.83,1.52,3.66,1.83,14in to 24in Ø  / 36cm to 61cm Ø,Clump,Never,,Potted plant  &  Primary,"['xanthorrhoea arborea', 'grass tree']",No information available
Araceae,Choux indien,,Foliage plant,Colombia,Tropical,28,12,11-10,Seasonal,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,Spider mite  &  Mealy bug,N/A,Color,Medium green  &  White,,,,Sporadic,36,0.91,0.91,0.91,0.91,6in to 14in Ø  / 15cm to 36cm Ø,Clump,If needed,,Potted plant  &  Primary,"['xanthosoma lindenii', 'yautia', 'indian kale']",No information available
Liliaceae,,,Dracaena,Mexico,Subtropical,30,12,"11,,,9",Regular,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Keep moist between watering  &  Water when soil is half dry,N/A,Downy mildiou,Robustness,Medium green,,,,Regular,25,1.22,0.61,3.66,1.52,4in to 17in Ø  / 10cm to 43cm Ø,Erect,If needed,Cane,Potted plant  &  Secondary,"['yucca plant', 'palm lily', 'yucca elephantipes', 'spineless yucca']","Use a good quality, well-aerated, loose houseplant soil that drains quickly for a Yucca Plant. Add sand to the soil if it seems too heavy or clay-like."
Araceae,,,Foliage plant,South Africa,Tropical,30,12,11-10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,N/A,N/A,Style,Dark green,,,,Regular,15,0.3,0.2,1.22,0.91,4in to 14in Ø  / 10cm to 36cm Ø,Clump,Never,,Table top  &  Secondary,"['zamioculcas zamifolia', 'zamioculcas zamiifolia', 'zz plant']",Use a well-aerated soil that retains water but still drains quickly. Add sand to the potting mixture if the soil becomes too heavy and compact.
